user,text,clean_text
hopingamerica,@JoeBiden @BarackObama Joe Biden says: “I think we should teach the Islamic religion in our schools.” Take God out… https://t.co/UcXoOQoIax,"['joebiden', 'barackobama', 'joe', 'biden', 'say', 'think', 'teach', 'islamic', 'religion', 'school', 'take', 'god']"
Jenoir4,@JoeBiden @BarackObama They know how to listen.,"['joebiden', 'barackobama', 'know', 'listen']"
baby_no13,"@JoeBiden @BarackObama Damn I miss having an intelligent, compassionate President","['joebiden', 'barackobama', 'damn', 'miss', 'intelligent', 'compassionate', 'president']"
jackson87874824,"@JoeBiden @BarackObama THESE GUYS ARE SO PHONY. ONE IS BEING INVESTIGATED IN THE UKRAINE, AND THE OTHER IN THE US.… https://t.co/NPSOtyWSTr","['joebiden', 'barackobama', 'guy', 'phony', 'one', 'investigated', 'ukraine', 'u']"
BellBudd,@JoeBiden @BarackObama Joe nodding off while Obummer panders to “teachers” 🙄 Pathetic 🙄🙄,"['joebiden', 'barackobama', 'joe', 'padding', 'summer', 'sander', 'teacher', 'face', 'rolling', 'eye', 'pathetic', 'face', 'rolling', 'eye', 'face', 'rolling', 'eye']"
JoeSher19633640,"@JoeBiden @BarackObama Educators (Actual teachers were driven out years ago, hence 27th in the world in math, scien… https://t.co/iSSmKvDXjl","['joebiden', 'barackobama', 'educator', 'actual', 'teacher', 'driven', 'year', 'ago', 'hence', '27th', 'world', 'math', 'scion']"
Mamaof212154947,@JoeBiden @BarackObama https://t.co/dtuRYbNRy3,"['joebiden', 'barackobama']"
KathyKraeuter,"@JoeBiden @BarackObama Hey, you're also a proud father and grandfather, right? #WheresHunter ? https://t.co/BqUR6bxRwF","['joebiden', 'barackobama', 'hey', 'also', 'proud', 'father', 'grandfather', 'right', 'whereshunter']"
Indyman10,@JoeBiden @BarackObama OH please please let Trump leave the White House.,"['joebiden', 'barackobama', 'oh', 'please', 'please', 'let', 'trump', 'leave', 'white', 'house']"
nlanese128,@JoeBiden @BarackObama Bozo will NOT help you win Dementia!,"['joebiden', 'barackobama', 'boo', 'help', 'win', 'dementia']"
Sunny86364844,"@JoeBiden @BarackObama Joe, I've heard of a few instances of PPE confiscation by the Fed. govt. like the one below… https://t.co/zyg6Ml5Q68","['joebiden', 'barackobama', 'joe', 'heard', 'instance', 'ppe', 'confiscation', 'fed', 'govt', 'like', 'one']"
karensu56983311,@JoeBiden @BarackObama You can’t call her on your own?,"['joebiden', 'barackobama', 'call']"
ckcflorida1,@JoeBiden @BarackObama https://t.co/Q3YRQOr219,"['joebiden', 'barackobama']"
JenniferEdward,@JoeBiden @BarackObama Can we push Election Day up to now?? I can’t waif to get @JoeBiden in the Oval Office. We ha… https://t.co/NJUidKXx0t,"['joebiden', 'barackobama', 'push', 'election', 'day', 'wait', 'get', 'joebiden', 'oval', 'office', 'ha']"
GrahamKincaid1,"@JoeBiden @BarackObama Sorry. I'm voting third party, bro.","['joebiden', 'barackobama', 'sorry', 'voting', 'third', 'party', 'bro']"
csummer94634016,@JoeBiden @BarackObama . I would definitely have let it go to voicemail... 😐 .,"['joebiden', 'barackobama', 'would', 'definitely', 'let', 'go', 'voicemail', 'neutral', 'face']"
SeenThisB4,@JoeBiden @BarackObama The FACTS are more children have died from automobile accidents than have died from COVID-19… https://t.co/LmXEtEa7VI,"['joebiden', 'barackobama', 'fact', 'child', 'died', 'automobile', 'accident', 'died', 'covid', '19']"
Scclod1,@JoeBiden @BarackObama Staged and fake,"['joebiden', 'barackobama', 'staged', 'fake']"
RadicalBernie,"@JoeBiden @BarackObama I can't believe people still fall for this kind of shit!  POLITICIANS ARE ACTORS, YOU MORONS… https://t.co/aiVIfFlAEY","['joebiden', 'barackobama', 'believe', 'people', 'still', 'fall', 'kind', 'shit', 'politician', 'actor', 'moon']"
osrs_014,"@JoeBiden @BarackObama Biden can’t even speak for himself, all these Barack and I videos, where it’s only Obama tal… https://t.co/MeoAZPSZvN","['joebiden', 'barackobama', 'biden', 'even', 'speak', 'barack', 'video', 'obama', 'tal']"
danielM74002318,@JoeBiden @BarackObama 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,"['joebiden', 'barackobama', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart', 'smiling', 'face', 'heart']"
Winners786,"@JoeBiden @BarackObama So proud of my next amazing president  Love to see a good leader who give respect to woman , thank you Joe","['joebiden', 'barackobama', 'proud', 'next', 'amazing', 'president', 'love', 'see', 'good', 'leader', 'give', 'respect', 'woman', 'thank', 'joe']"
rmonkeyhouseya1,@JoeBiden @BarackObama Kids will be okay if they do the home schooling thing as long as they need. Kids are flexibl… https://t.co/XyEsZVbyVJ,"['joebiden', 'barackobama', 'kid', 'okay', 'home', 'schooling', 'thing', 'long', 'need', 'kid', 'flexible']"
Reed0012,@JoeBiden @BarackObama Joe I'm begging you let me out yo basement,"['joebiden', 'barackobama', 'joe', 'begging', 'let', 'yo', 'basement']"
zembrewer,@JoeBiden @BarackObama The young people of today will not tolerate the bullshit my generation did. Numbered are the… https://t.co/UfJmSrdgux,"['joebiden', 'barackobama', 'young', 'people', 'today', 'tolerate', 'bullshit', 'generation', 'numbered']"
davidosull,"@JoeBiden @BarackObama Consistancy is @realDonaldTrump best never trait. Apologies for a negative comment, but let’… https://t.co/qjhswnT8J8","['joebiden', 'barackobama', 'consistency', 'realdonaldtrump', 'best', 'never', 'trait', 'apology', 'negative', 'comment', 'let']"
ericgaub,@JoeBiden @BarackObama https://t.co/wefQiv3ZQE,"['joebiden', 'barackobama']"
PennPopPop,@JoeBiden @BarackObama #racistsleepyjoe,"['joebiden', 'barackobama', 'racistsleepyjoe']"
Hierophant33,@JoeBiden @BarackObama https://t.co/xTkydUirMs,"['joebiden', 'barackobama']"
royalmusing,@JoeBiden @BarackObama Thank. You.   #Biden2020,"['joebiden', 'barackobama', 'thank', 'biden2020']"
FrankOr35980524,@JoeBiden @BarackObama We should not politicize public healthDems and bothof you have been blaming Trump for thisvi… https://t.co/U1h0hDNJ5P,"['joebiden', 'barackobama', 'politician', 'public', 'healthdems', 'both', 'blaming', 'trump', 'this']"
kushal232323,@JoeBiden @angie_keathly @BarackObama I will be voting for Joe Biden. https://t.co/rl6CdEiKIO,"['joebiden', 'angle', 'neatly', 'barackobama', 'voting', 'joe', 'biden']"
